Type,Air Temperature,Process Temperature,Rotational Speed,Torque,Tool Wear,Target,Failure Type,Temperature Difference,Power
M,298.1,308.6,1551,42.8,0,1,No Failure,10.5,6951.590552213998
L,298.2,308.7,1408,46.3,3,1,No Failure,10.5,6826.722716351999
L,298.1,308.5,1498,49.4,5,1,No Failure,10.399999999999977,7749.387533706
L,298.2,308.6,1433,39.5,7,1,No Failure,10.400000000000034,5927.5046521425
L,298.2,308.7,1408,40.0,9,1,No Failure,10.5,5897.8166016
M,298.1,308.6,1425,41.9,11,1,No Failure,10.5,6252.5547716625
L,298.1,308.6,1558,42.4,14,1,No Failure,10.5,6917.703239496
L,298.1,308.6,1527,40.2,16,1,No Failure,10.5,6428.264048577
M,298.3,308.7,1667,28.6,18,1,No Failure,10.399999999999977,4992.639983331001
M,298.5,309.0,1741,28.0,21,1,No Failure,10.5,5104.87861674
H,298.4,308.9,1782,23.9,24,1,No Failure,10.5,4459.993421499
H,298.6,309.1,1423,44.3,29,1,No Failure,10.5,6601.4181634695
M,298.6,309.1,1339,51.1,34,1,No Failure,10.5,7165.229324389501
M,298.6,309.2,1742,30.0,37,1,No Failure,10.599999999999966,5472.6543962999995
L,298.6,309.2,2035,19.6,40,1,No Failure,10.599999999999966,4176.85214793
L,298.6,309.2,1542,48.4,42,1,No Failure,10.599999999999966,7815.528530964
M,298.6,309.2,1311,46.6,44,1,No Failure,10.599999999999966,6397.6021043129995
M,298.7,309.2,1410,45.6,47,1,No Failure,10.5,6733.06136748
H,298.8,309.2,1306,54.5,50,1,No Failure,10.399999999999977,7453.6380016349995
M,298.9,309.3,1632,32.5,55,1,No Failure,10.400000000000034,5554.3358052
H,298.9,309.3,1375,42.7,58,1,No Failure,10.400000000000034,6148.358615437501
L,298.8,309.3,1450,44.8,63,1,No Failure,10.5,6802.595284799999
M,298.9,309.3,1581,30.7,65,1,No Failure,10.400000000000034,5082.751332508499
L,299.0,309.4,1758,25.7,68,1,No Failure,10.399999999999977,4731.301362753
M,299.0,309.4,1561,37.3,70,1,No Failure,10.399999999999977,6097.339150801499
L,299.0,309.5,1861,23.3,73,1,No Failure,10.5,4540.7847124815
L,299.1,309.5,1512,39.0,75,1,No Failure,10.399999999999977,6175.11451284
H,299.1,309.4,1811,24.6,77,1,No Failure,10.299999999999955,4665.327917103001
L,299.1,309.4,1439,44.2,82,1,No Failure,10.299999999999955,6660.574353069001
L,299.0,309.4,1693,30.1,84,1,No Failure,10.399999999999977,5336.4454109715
M,299.1,309.5,1339,48.2,86,1,No Failure,10.399999999999977,6758.592043749
L,299.0,309.4,1798,25.5,89,1,No Failure,10.399999999999977,4801.296046995
L,299.0,309.4,1419,48.3,91,1,No Failure,10.399999999999977,7177.2511522634995
L,298.9,309.3,1665,32.5,93,1,No Failure,10.400000000000034,5666.6477424375
M,298.8,309.1,1559,34.7,95,1,No Failure,10.300000000000011,5665.0560021615
M,298.8,309.2,1452,48.6,98,1,No Failure,10.399999999999977,7389.779895035999
M,298.9,309.2,1581,36.7,101,1,No Failure,10.300000000000011,6076.1229284385
L,298.8,309.1,1439,39.2,104,1,No Failure,10.300000000000011,5907.115715844
H,298.9,309.2,1379,50.7,106,1,No Failure,10.300000000000011,7321.5130867515
L,298.8,309.1,1350,52.5,111,1,No Failure,10.300000000000011,7422.012635625
L,298.8,309.1,1362,45.4,113,1,No Failure,10.300000000000011,6475.325106474
L,298.8,309.1,1368,50.8,115,1,No Failure,10.300000000000011,7277.436541871999
M,298.8,309.1,1368,49.1,117,1,No Failure,10.300000000000011,7033.900279644
H,298.8,309.2,1372,48.5,120,1,No Failure,10.399999999999977,6968.26193721
M,298.8,309.1,1472,47.5,125,1,No Failure,10.300000000000011,7322.0052696
L,298.8,309.1,1489,49.1,128,1,No Failure,10.300000000000011,7656.050816074501
M,298.7,309.0,1843,25.8,130,1,No Failure,10.300000000000011,4979.361518397
L,298.8,309.1,1418,46.3,133,1,No Failure,10.300000000000011,6875.207962916999
H,298.8,309.2,1425,53.9,135,1,No Failure,10.399999999999977,8043.2625821625
M,298.9,309.2,1412,44.1,140,1,No Failure,10.300000000000011,6520.815368046
L,298.9,309.1,2861,4.6,143,0,Power Failure,10.200000000000045,1378.1748076529998
L,298.9,309.1,1383,54.9,145,1,No Failure,10.200000000000045,7951.0254219584995
H,298.8,309.0,1497,43.8,147,1,No Failure,10.199999999999989,6866.327727692999
L,298.7,309.0,1565,35.1,152,1,No Failure,10.300000000000011,5752.4132217825
L,298.7,309.0,1691,30.1,154,1,No Failure,10.300000000000011,5330.1412817205
L,298.8,309.1,1512,40.7,156,1,No Failure,10.300000000000011,6444.286171092
L,298.8,309.1,1477,42.4,158,1,No Failure,10.300000000000011,6558.053712923999
L,298.8,309.1,1513,40.3,160,1,No Failure,10.300000000000011,6385.1718693944995
M,298.8,309.0,1661,29.5,162,1,No Failure,10.199999999999989,5131.2156351225
L,298.8,309.1,1378,54.4,165,1,No Failure,10.300000000000011,7850.1279380159995
L,298.8,309.1,1393,52.6,167,1,No Failure,10.300000000000011,7673.004944409
M,298.8,309.0,1592,38.2,169,1,No Failure,10.199999999999989,6368.469068472
L,298.8,309.0,1829,22.9,172,1,No Failure,10.199999999999989,4386.0926903955
M,298.9,309.0,1812,25.9,174,1,No Failure,10.100000000000023,4914.5818779539995
L,299.0,309.1,1523,38.6,177,1,No Failure,10.100000000000023,6156.244012989
L,299.0,309.1,1394,45.1,179,1,No Failure,10.100000000000023,6583.668164997
M,298.9,308.9,1679,28.7,181,1,No Failure,10.0,5046.1622501115
H,298.8,308.9,1466,44.1,184,1,No Failure,10.099999999999966,6770.194992602999
L,298.8,308.9,1527,32.4,189,1,No Failure,10.099999999999966,5180.988934673999
L,298.9,309.0,1410,65.7,191,0,Power Failure,10.100000000000023,9700.923943935
M,298.9,309.0,1924,22.6,193,1,No Failure,10.100000000000023,4553.466274812
L,298.9,309.1,1452,45.5,196,1,No Failure,10.200000000000045,6918.41533383
L,298.9,309.1,1369,44.4,198,1,No Failure,10.200000000000045,6365.243700018
L,299.0,309.1,1592,35.0,200,1,No Failure,10.100000000000023,5834.9847486
L,298.9,309.0,1601,32.3,202,1,No Failure,10.100000000000023,5415.299386486499
L,298.8,308.9,1379,46.7,204,1,No Failure,10.099999999999966,6743.8789181715
L,298.8,308.9,1461,47.9,206,1,No Failure,10.099999999999966,7328.487422434499
L,298.8,308.9,1455,41.3,208,0,Tool Wear Failure,10.099999999999966,6292.767157582499
L,298.8,308.9,1398,51.5,0,1,No Failure,10.099999999999966,7539.508200735
L,298.8,308.9,1402,37.9,2,1,No Failure,10.099999999999966,5564.3679577289995
H,298.8,308.8,1445,49.9,4,1,No Failure,10.0,7550.8702941525
L,298.9,308.9,1450,47.5,9,1,No Failure,10.0,7212.573125625
L,298.9,308.9,1453,40.8,11,1,No Failure,10.0,6208.038403811999
L,299.0,309.0,1469,40.1,13,1,No Failure,10.0,6168.7161358095
L,298.9,308.9,1422,47.6,15,1,No Failure,10.0,7088.1870006359995
M,299.0,309.0,1804,26.8,17,1,No Failure,10.0,5062.906938936
H,299.0,309.0,1436,43.9,20,1,No Failure,10.0,6601.575243102
L,299.0,309.0,1544,31.8,25,1,No Failure,10.0,5141.656194696
M,299.0,309.0,1419,45.2,27,1,No Failure,10.0,6716.599421994
M,298.9,308.9,1487,39.5,30,1,No Failure,10.0,6150.8718895575
L,298.9,308.9,1753,25.8,33,1,No Failure,10.0,4736.202247287
L,298.9,308.9,1830,24.9,35,1,No Failure,10.0,4771.765076085
M,298.9,308.9,1727,27.1,37,1,No Failure,10.0,4901.0625575835
L,299.1,309.0,1450,43.0,40,1,No Failure,9.899999999999977,6529.2767242499995
L,299.0,308.9,1622,31.9,42,1,No Failure,9.899999999999977,5418.388619259
M,299.0,309.0,1351,52.2,44,1,No Failure,10.0,7385.067506060999
M,299.0,309.0,1575,35.3,47,1,No Failure,10.0,5822.156578612499
M,298.9,308.9,1750,29.9,50,1,No Failure,10.0,5479.4611803749995
L,298.9,308.8,1529,32.7,53,1,No Failure,9.900000000000034,5235.8097264165
L,298.8,308.8,1523,44.4,55,1,No Failure,10.0,7081.275496806
L,298.8,308.9,1852,25.0,57,1,No Failure,10.099999999999966,4848.5246565
L,298.8,308.8,1991,20.7,59,1,No Failure,10.0,4315.8885666435
L,298.8,308.8,1555,40.6,61,1,No Failure,10.0,6611.272292415
M,298.8,308.8,1441,40.5,63,1,No Failure,10.0,6111.4972616775
L,298.8,308.7,1450,43.4,66,1,No Failure,9.899999999999977,6590.01418215
L,298.8,308.7,1591,31.1,68,1,No Failure,9.899999999999977,5181.5439493755
L,298.8,308.7,1445,48.5,70,1,No Failure,9.899999999999977,7339.0222297875
M,298.8,308.8,1497,46.8,72,1,No Failure,10.0,7336.624147397999
H,298.9,308.8,1621,32.7,75,1,No Failure,9.900000000000034,5550.8486373585
L,298.9,308.7,1572,34.1,80,1,No Failure,9.800000000000011,5613.523410726
L,298.8,308.6,1872,22.5,82,1,No Failure,9.800000000000011,4410.7960806
H,298.7,308.6,1499,43.5,84,1,No Failure,9.900000000000034,6828.4087044074995
